video_id,titulo,descrição,data_publicacao,Visualizações,Likes,Comentários,Taxa de Engajamento,thumbnail_url,youtube_url
zUqX1JeY5_A,Pretend You Died - Emily Pierce (official lyric video),,2025-05-30,40321,185,12,0.49,https://i.ytimg.com/vi/zUqX1JeY5_A/hqdefault.jpg,https://www.youtube.com/watch?v=zUqX1JeY5_A
qrO4YZeyl0I,Lady Gaga - Bad Romance (Official Music Video),"MAYHEM OUT NOW
http://ladygaga.com 
 
Follow Lady Gaga:
Facebook: https://www.facebook.com/ladygaga 
Instagram: https://www.instagram.com/ladygaga 
TikTok: https://www.tiktok.com/@ladygaga 
Twitter: h",2009-11-24,1961955842,9833545,926351,0.55,https://i.ytimg.com/vi/qrO4YZeyl0I/hqdefault.jpg,https://www.youtube.com/watch?v=qrO4YZeyl0I
KEG7b851Ric,Sabrina Carpenter - Taste (Official Video),"Stream “Taste” here: https://sabrinacarpenter.lnk.to/Taste
Listen to Short n’ Sweet, out now:  https://sabrinacarpenter.lnk.to/ShortNSweet
Watch all Short n’ Sweet videos here : https://SabrinaCarpent",2024-08-23,196239847,3199054,91282,1.68,https://i.ytimg.com/vi/KEG7b851Ric/hqdefault.jpg,https://www.youtube.com/watch?v=KEG7b851Ric
pRfmrE0ToTo,Anne-Marie & James Arthur - Rewrite The Stars [from The Greatest Showman: Reimagined],"The official music video for Anne-Marie & @jamesarthur - Rewrite The Stars from The Greatest Showman: Reimagined

UNHEALTHY the new album out now: https://anne-marie.lnk.to/Unhealthy

Download/Stream ",2018-11-16,675935800,4634129,71742,0.7,https://i.ytimg.com/vi/pRfmrE0ToTo/hqdefault.jpg,https://www.youtube.com/watch?v=pRfmrE0ToTo
fWNaR-rxAic,Carly Rae Jepsen - Call Me Maybe,"Get E•MO•TION on iTunes now: http://smarturl.it/E-MO-TION

Sign up for Carly Rae Jepsen news here: http://smarturl.it/CRJ.News

Music video by Carly Rae Jepsen performing Call Me Maybe. (C) 2011 604 R",2012-03-01,1747306046,9932758,661585,0.61,https://i.ytimg.com/vi/fWNaR-rxAic/hqdefault.jpg,https://www.youtube.com/watch?v=fWNaR-rxAic
XUd0xmK7fvY,Claudia Valentina - Candy (Official Video),"Official video for Claudia Valentina new single “Candy”

Claudia Valentina - Candy is out now

Listen & Download “Candy”: https://stem.ffm.to/candy

Music Video credits 
Director: Erik He
Creative Dir",2025-05-23,274072,12225,1040,4.84,https://i.ytimg.com/vi/XUd0xmK7fvY/hqdefault.jpg,https://www.youtube.com/watch?v=XUd0xmK7fvY
31crA53Dgu0,Sia - Cheap Thrills (Performance Edit),"""Cheap Thrills"" by Sia
Listen to Sia: https://sia.lnk.to/listenYD
Watch more Sia videos: https://sia.lnk.to/listenYD/youtube

Subscribe to the official Sia YouTube channel: https://sia.lnk.to/subscrib",2016-03-21,1157663550,7155580,159707,0.63,https://i.ytimg.com/vi/31crA53Dgu0/hqdefault.jpg,https://www.youtube.com/watch?v=31crA53Dgu0
KNtJGQkC-WI,Ariana Grande - we can't be friends (wait for your love) (official music video),"Music video by Ariana Grande performing we can't be friends (wait for your love).© 2024 Republic Records, a division of UMG Recordings, Inc.",2024-03-08,288757582,3151090,109627,1.13,https://i.ytimg.com/vi/KNtJGQkC-WI/hqdefault.jpg,https://www.youtube.com/watch?v=KNtJGQkC-WI
GR3Liudev18,Chappell Roan - Pink Pony Club (Official Music Video),"Chappell Roan – Pink Pony Club

Download/stream ""Pink Pony Club"": https://ChappellRoan.lnk.to/PinkPonyClubID
Listen to ""The Rise and Fall of a Midwest Princess"" now: https://chappellroan.lnk.to/TheRis",2020-04-03,82671757,722053,26288,0.91,https://i.ytimg.com/vi/GR3Liudev18/hqdefault.jpg,https://www.youtube.com/watch?v=GR3Liudev18
I-QfPUz1es8,Imagine Dragons - Bad Liar,"Listen to 'Eyes Closed' out now: https://ImagineDragons.lnk.to/EyesClosed
Watch the official video for ‘Eyes Closed here: https://ImagineDragons.lnk.to/EyesClosedVideo

Shop Imagine Dragons: https://I",2019-01-24,581129400,5042100,106118,0.89,https://i.ytimg.com/vi/I-QfPUz1es8/hqdefault.jpg,https://www.youtube.com/watch?v=I-QfPUz1es8
IjNpSJfx7Cs,Eli Jae - Your Body,"Stream & Download Audio!  https://www.submithub.com/link/eli-jae-your-body
Eli Jae performs YOUR BODY
follow on socials @elijaemusic on all platforms


#elijae #rnb  #soul",2025-05-23,23285,261,27,1.24,https://i.ytimg.com/vi/IjNpSJfx7Cs/hqdefault.jpg,https://www.youtube.com/watch?v=IjNpSJfx7Cs
DUT5rEU6pqM,Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,"Official 4K Video ""Hips Don't Lie"" by Shakira ft. Wyclef Jean

Shakira's new album, Las Mujeres Ya No Lloran, out now!
Listen at https://SML.lnk.to/LMYNL

Listen to Shakira: https://Shakira.lnk.to/lis",2009-10-03,1630612958,8248947,254312,0.52,https://i.ytimg.com/vi/DUT5rEU6pqM/hqdefault.jpg,https://www.youtube.com/watch?v=DUT5rEU6pqM
